"service_id","date","exception_type"
"18E7100B","20241029","1"
"18E7100B","20241030","1"
"18E7100B","20241031","1"
"18E7100B","20241101","1"
"18E7100B","20241104","1"
"18E7100B","20241105","1"
"18E7100B","20241106","1"
"18E7100B","20241107","1"
"18E7100B","20241108","1"
"6C02099B","20241017","1"
"6C02099B","20241018","1"
"6C02099B","20241022","1"
"6C02099B","20241023","1"
"6C02099B","20241024","1"
"6C02099B","20241025","1"
"6C02099B","20241029","1"
"6C02099B","20241030","1"
"6C02099B","20241031","1"
"6C02099B","20241101","1"
"6C02099B","20241104","1"
"6C02099B","20241105","1"
"6C02099B","20241106","1"
"6C02099B","20241107","1"
"6C02099B","20241108","1"
